## S53 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 15 (+ 0 in workshops/)
## Total edges (deduped): 56
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:53:session-53-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-baptista-collab.md | match='**Author**: Baptista Spacetime-Analyst'
[EDGE:authored_by] gates:53:session-53-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-baptista-collab.md | match='**Author**: Baptista Spacetime-Analyst'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-53/session-53-baptista-volovik-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-53/session-53-baptista-volovik-workshop.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:volovik-superfluid-universe-theorist -> data_provenance:data_provenance:sessions/archive/session-53/session-53-baptista-volovik-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-53/session-53-baptista-volovik-workshop.md | match='volovik (volovik-superfluid-universe-theorist)'
[EDGE:authored_round] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-53/session-53-baptista-volovik-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-53/session-53-baptista-volovik-workshop.md | match='## Round 1 — baptista'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-53/session-53-connes-nazarewicz-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-53/session-53-connes-nazarewicz-workshop.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:nazarewicz-nuclear-structure-theorist -> data_provenance:data_provenance:sessions/archive/session-53/session-53-connes-nazarewicz-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-53/session-53-connes-nazarewicz-workshop.md | match='nazarewicz (nazarewicz-nuclear-structure-theorist)'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-53/session-53-connes-nazarewicz-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-53/session-53-connes-nazarewicz-workshop.md | match='## Round 1 — connes'
[EDGE:authored_round] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-53/session-53-connes-nazarewicz-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-53/session-53-connes-nazarewicz-workshop.md | match='## Round 2 — connes'
[EDGE:authored_by] data_provenance:53:session-53-cross-workshop-synthesis.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-cross-workshop-synthesis.md | match='**Author**: Phonon-First Cosmologist (cross-domain synthesis)'
[EDGE:authored_by] gates:53:session-53-cross-workshop-synthesis.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-cross-workshop-synthesis.md | match='**Author**: Phonon-First Cosmologist (cross-domain synthesis)'
[EDGE:authored_by] data_provenance:53:session-53-kaku-collab.md -> researchers:kaku-speculative-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-kaku-collab.md | match='**Author**: Kaku Speculative-Theorist'
[EDGE:authored_by] gates:53:session-53-kaku-collab.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-kaku-collab.md | match='**Author**: Kaku Speculative-Theorist'
[EDGE:authored_by] data_provenance:53:session-53-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-landau-collab.md | match='**Author**: Landau Condensed-Matter-Theorist'
[EDGE:authored_by] gates:53:session-53-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-landau-collab.md | match='**Author**: Landau Condensed-Matter-Theorist'
[EDGE:participates_in] researchers:phonon-first-cosmologist -> data_provenance:data_provenance:sessions/archive/session-53/session-53-phonon-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-53/session-53-phonon-hawking-workshop.md | match='phonon (phonon-first-cosmologist)'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-53/session-53-phonon-hawking-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-53/session-53-phonon-hawking-workshop.md | match='hawking (hawking-theorist)'
[EDGE:authored_round] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-53/session-53-phonon-hawking-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-53/session-53-phonon-hawking-workshop.md | match='## Round 1 — hawking'
[EDGE:authored_by] data_provenance:53:session-53-qa-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-qa-collab.md | match='**Author**: Quantum-Acoustics-Theorist'
[EDGE:authored_by] gates:53:session-53-qa-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-qa-collab.md | match='**Author**: Quantum-Acoustics-Theorist'
[EDGE:authored_by] gates:W0-1 -> researchers:tesla-resonance  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-53/session-53-results-workingpaper.md | match='### W0-1: BLV-CONFORMAL-53 — Resolve H_acoustic Exponent (tesla-resonance)'
