## S59 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G4
## Files scanned: 7 (+ 0 in workshops/)
## Total edges (deduped): 33
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:59:session-59-bap-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-bap-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] gates:59:session-59-bap-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-bap-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] data_provenance:59:session-59-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-hawking-collab.md | match='**Author**: Hawking Theorist'
[EDGE:authored_by] gates:59:session-59-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-hawking-collab.md | match='**Author**: Hawking Theorist'
[EDGE:authored_by] data_provenance:59:session-59-mack-collab.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-mack-collab.md | match='**Author**: Mack Cosmic Bridge Analyst'
[EDGE:authored_by] gates:59:session-59-mack-collab.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-mack-collab.md | match='**Author**: Mack Cosmic Bridge Analyst'
[EDGE:participates_in] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-59/session-59-mack-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-59/session-59-mack-landau-workshop.md | match='mack (mack-cosmic-bridge)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-59/session-59-mack-landau-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-59/session-59-mack-landau-workshop.md | match='landau (landau-condensed-matter-theorist)'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-59/session-59-mack-landau-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-59/session-59-mack-landau-workshop.md | match='## Round 1 — mack'
[EDGE:authored_round] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-59/session-59-mack-landau-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-59/session-59-mack-landau-workshop.md | match='## Round 1 — landau'
[EDGE:authored_round] researchers:mack-cosmic-bridge -> data_provenance:data_provenance:sessions/archive/session-59/session-59-mack-landau-workshop.md#round-2  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-59/session-59-mack-landau-workshop.md | match='## Round 2 — mack'
[EDGE:authored_by] data_provenance:59:session-59-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:59:session-59-naz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-naz-collab.md | match='**Author**: Nazarewicz Nuclear Structure Theorist'
[EDGE:authored_by] gates:W0-1 -> researchers:volovik-superfluid-universe-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W0-1: Post-Transit Depletion Kinetics (volovik)'
[EDGE:authored_by] gates:W0-2 -> researchers:landau-condensed-matter-theorist  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W0-2: N_pair = 3 Exact Diagonalization (landau)'
[EDGE:authored_by] gates:W0-3 -> researchers:baptista-spacetime-analyst  # G5 | role=primary | conf=header-parsed | src=sessions/archive/session-59/session-59-results-workingpaper.md | match='### W0-3: Spinor Normalization from First Principles (baptista)'
