## S33 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 11 (+ 0 in workshops/)
## Total edges (deduped): 14
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:33:session-33-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-baptista-collab.md | match='**Author**: Baptista (Spacetime Analyst)'
[EDGE:authored_by] gates:33:session-33-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-baptista-collab.md | match='**Author**: Baptista (Spacetime Analyst)'
[EDGE:authored_by] data_provenance:33:session-33-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-connes-collab.md | match='**Author**: Connes (NCG Theorist)'
[EDGE:authored_by] gates:33:session-33-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-connes-collab.md | match='**Author**: Connes (NCG Theorist)'
[EDGE:authored_by] data_provenance:33:session-33-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-cosmic-web-collab.md | match='**Author**: Cosmic Web Theorist (Volovik + van de Weygaert + Einasto synthesis)'
[EDGE:authored_by] gates:33:session-33-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-cosmic-web-collab.md | match='**Author**: Cosmic Web Theorist (Volovik + van de Weygaert + Einasto synthesis)'
[EDGE:authored_by] data_provenance:33:session-33-qa-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-qa-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] gates:33:session-33-qa-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-qa-collab.md | match='**Author**: Quantum Acoustics Theorist'
[EDGE:authored_by] data_provenance:33:session-33-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Geometer)'
[EDGE:authored_by] gates:33:session-33-sp-collab.md -> researchers:schwarzschild-penrose-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-sp-collab.md | match='**Author**: Schwarzschild-Penrose (Geometer)'
[EDGE:authored_by] data_provenance:33:session-33-spectral-geometer-collab.md -> researchers:spectral-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-spectral-geometer-collab.md | match='**Author**: Spectral Geometer'
[EDGE:authored_by] gates:33:session-33-spectral-geometer-collab.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-spectral-geometer-collab.md | match='**Author**: Spectral Geometer'
[EDGE:authored_by] data_provenance:33:session-33-tesla-collab.md -> researchers:tesla-resonance  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-tesla-collab.md | match='**Author**: Tesla (Resonance Theorist)'
[EDGE:authored_by] gates:33:session-33-tesla-collab.md -> researchers:tesla-resonance  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-33/session-33-tesla-collab.md | match='**Author**: Tesla (Resonance Theorist)'
