## S32 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 30 (+ 0 in workshops/)
## Total edges (deduped): 72
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:32:session-32-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:32:session-32-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:32:session-32-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-berry-collab.md | match='**Author**: Berry'
[EDGE:authored_by] gates:32:session-32-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-berry-collab.md | match='**Author**: Berry'
[EDGE:authored_by] data_provenance:32:session-32-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-connes-collab.md | match='**Author**: Connes (NCG Theorist)'
[EDGE:authored_by] gates:32:session-32-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-connes-collab.md | match='**Author**: Connes (NCG Theorist)'
[EDGE:participates_in] researchers:connes-ncg-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-connes-qa-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-connes-qa-workshop.md | match='connes (connes-ncg-theorist)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-connes-qa-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-connes-qa-workshop.md | match='quantum-acoustics (quantum-acoustics-theorist)'
[EDGE:authored_by] data_provenance:32:session-32-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-cosmic-web-collab.md | match='**Author**: Cosmic Web (Volovik + van de Weygaert + Einasto synthesis)'
[EDGE:authored_by] gates:32:session-32-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-cosmic-web-collab.md | match='**Author**: Cosmic Web (Volovik + van de Weygaert + Einasto synthesis)'
[EDGE:authored_by] data_provenance:32:session-32-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-dirac-collab.md | match='**Author**: Dirac'
[EDGE:authored_by] gates:32:session-32-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-dirac-collab.md | match='**Author**: Dirac'
[EDGE:authored_by] data_provenance:32:session-32-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-einstein-collab.md | match='**Author**: Einstein'
[EDGE:authored_by] gates:32:session-32-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-einstein-collab.md | match='**Author**: Einstein'
[EDGE:authored_by] data_provenance:32:session-32-feynman-collab.md -> researchers:feynman-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-feynman-collab.md | match='**Author**: Feynman'
[EDGE:authored_by] gates:32:session-32-feynman-collab.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-feynman-collab.md | match='**Author**: Feynman'
[EDGE:authored_by] data_provenance:32:session-32-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-hawking-collab.md | match='**Author**: Hawking'
[EDGE:authored_by] gates:32:session-32-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-hawking-collab.md | match='**Author**: Hawking'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-hawking-cosmic-web-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-hawking-cosmic-web-workshop.md | match='hawking (hawking-theorist)'
[EDGE:participates_in] researchers:cosmic-web-theorist -> data_provenance:data_provenance:sessions/archive/session-32/session-32-hawking-cosmic-web-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-hawking-cosmic-web-workshop.md | match='cosmic-web (cosmic-web-theorist)'
[EDGE:authored_by] data_provenance:32:session-32-kk-collab.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-kk-collab.md | match='**Author**: Kaluza-Klein Theorist'
[EDGE:authored_by] gates:32:session-32-kk-collab.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-kk-collab.md | match='**Author**: Kaluza-Klein Theorist'
[EDGE:authored_by] data_provenance:32:session-32-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-landau-collab.md | match='**Author**: Landau'
[EDGE:authored_by] gates:32:session-32-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-landau-collab.md | match='**Author**: Landau'
[EDGE:authored_by] data_provenance:32:session-32-little-red-dots-collab.md -> researchers:little-red-dots-jwst-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-little-red-dots-collab.md | match='**Author**: Little Red Dots'
[EDGE:authored_by] gates:32:session-32-little-red-dots-collab.md -> researchers:little-red-dots-jwst-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-little-red-dots-collab.md | match='**Author**: Little Red Dots'
[EDGE:participates_in] researchers:tesla-resonance -> data_provenance:data_provenance:sessions/archive/session-32/session-32-master-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-master-synthesis.md | match='tesla (tesla-resonance)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-32/session-32-master-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-master-synthesis.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:participates_in] researchers:coordinator -> data_provenance:data_provenance:sessions/archive/session-32/session-32-master-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-32/session-32-master-synthesis.md | match='coord (coordinator)'
[EDGE:authored_by] data_provenance:32:session-32-nazarewicz-collab.md -> researchers:nazarewicz-nuclear-structure-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-32/session-32-nazarewicz-collab.md | match='**Author**: Nazarewicz'
