## S82 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 12 (+ 3 in workshops/)
## Total edges (deduped): 56
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:82:session-82-connes-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-connes-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] data_provenance:82:session-82-connes-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-82/session-82-connes-synthesis.md | match='session-82-connes-synthesis.md'
[EDGE:authored_by] data_provenance:82:session-82-gen-physicist-synthesis.md -> researchers:gen-physicist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-82/session-82-gen-physicist-synthesis.md | match='session-82-gen-physicist-synthesis.md'
[EDGE:authored_by] gates:82:session-82-kaku-synthesis.md -> researchers:kaku-speculative-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-kaku-synthesis.md | match='**Agent**: kaku-speculative-theorist (Dreamer)'
[EDGE:authored_by] data_provenance:82:session-82-kaku-synthesis.md -> researchers:kaku-speculative-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-82/session-82-kaku-synthesis.md | match='session-82-kaku-synthesis.md'
[EDGE:authored_by] gates:82:session-82-landau-synthesis.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-landau-synthesis.md | match='**Agent**: landau-condensed-matter-theorist'
[EDGE:authored_by] data_provenance:82:session-82-landau-synthesis.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-82/session-82-landau-synthesis.md | match='session-82-landau-synthesis.md'
[EDGE:authored_by] data_provenance:82:session-82-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-82/session-82-mack-synthesis.md | match='session-82-mack-synthesis.md'
[EDGE:authored_by] gates:82:session-82-results-workingpaper.md -> researchers:spectral-geometer  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Author**: spectral-geometer.'
[EDGE:authored_by] data_provenance:82:session-82-results-workingpaper.md -> researchers:spectral-geometer  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Author**: spectral-geometer.'
[EDGE:authored_by] data_provenance:82:session-82-results-workingpaper.md -> researchers:phonon-first-cosmologist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: phonon-first-cosmologist (matches S80 W0-15 owner)'
[EDGE:authored_by] data_provenance:82:session-82-results-workingpaper.md -> researchers:quantum-acoustics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: quantum-acoustics-theorist'
[EDGE:authored_by] gates:UNIFIED-AS-79 -> researchers:gen-physicist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: gen-physicist'
[EDGE:authored_by] gates:UNIFIED-AS-79 -> researchers:landau-condensed-matter-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: landau-condensed-matter-theorist'
[EDGE:authored_by] gates:MANDATORY -> researchers:transit-dynamics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: transit-dynamics-theorist'
[EDGE:authored_by] gates:UNIFIED-AS-79 -> researchers:transit-dynamics-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: transit-dynamics-theorist'
[EDGE:authored_by] gates:UNIFIED-AS-79 -> researchers:van-den-dungen-bridge-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: van-den-dungen-bridge-theorist (primary) + connes-ncg-theorist (dual)'
[EDGE:synthesized_by] gates:UNIFIED-AS-79 -> sessions:(wave-synthesis)  # G6 | role=orchestrator | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: connes-ncg-theorist + spectral-geometer'
[EDGE:authored_by] gates:UNIFIED-AS-79 -> researchers:einstein-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: einstein-theorist (W2-6 executor; feynman-theorist share not invoked)'
[EDGE:synthesized_by] gates:LISA- -> sessions:(wave-synthesis)  # G6 | role=orchestrator | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: mack-cosmic-bridge + einstein-theorist'
[EDGE:authored_by] gates:LISA- -> researchers:lizzi-spectral-functional-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: lizzi-spectral-functional-theorist'
[EDGE:authored_by] gates:LISA- -> researchers:landau-condensed-matter-theorist  # G6 | role=primary | conf=header-parsed | src=sessions/archive/session-82/session-82-results-workingpaper.md | match='**Owner**: landau-condensed-matter-theorist'
