## S28 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 26 (+ 0 in workshops/)
## Total edges (deduped): 36
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:28:session-28-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:28:session-28-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:28:session-28-baptista-constraint-audit.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-baptista-constraint-audit.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:28:session-28-baptista-constraint-audit.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-baptista-constraint-audit.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:28:session-28-baptista-wrapup.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-baptista-wrapup.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:28:session-28-baptista-wrapup.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-baptista-wrapup.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:28:session-28-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-berry-collab.md | match='**Author**: Berry (berry-geometric-phase-theorist)'
[EDGE:authored_by] gates:28:session-28-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-berry-collab.md | match='**Author**: Berry (berry-geometric-phase-theorist)'
[EDGE:authored_by] data_provenance:28:session-28-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-connes-collab.md | match='**Author**: Connes (connes-ncg-theorist)'
[EDGE:authored_by] gates:28:session-28-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-connes-collab.md | match='**Author**: Connes (connes-ncg-theorist)'
[EDGE:authored_by] data_provenance:28:session-28-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-cosmic-web-collab.md | match='**Author**: Cosmic-Web-Theorist'
[EDGE:authored_by] gates:28:session-28-cosmic-web-collab.md -> researchers:cosmic-web-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-cosmic-web-collab.md | match='**Author**: Cosmic-Web-Theorist'
[EDGE:authored_by] data_provenance:28:session-28-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-dirac-collab.md | match='**Author**: Dirac (dirac-antimatter-theorist)'
[EDGE:authored_by] gates:28:session-28-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-dirac-collab.md | match='**Author**: Dirac (dirac-antimatter-theorist)'
[EDGE:authored_by] data_provenance:28:session-28-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-einstein-collab.md | match='**Author**: Einstein (einstein-theorist)'
[EDGE:authored_by] gates:28:session-28-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-einstein-collab.md | match='**Author**: Einstein (einstein-theorist)'
[EDGE:authored_by] data_provenance:28:session-28-feynman-collab.md -> researchers:feynman-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-feynman-collab.md | match='**Author**: Feynman (feynman-theorist)'
[EDGE:authored_by] gates:28:session-28-feynman-collab.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-feynman-collab.md | match='**Author**: Feynman (feynman-theorist)'
[EDGE:authored_by] data_provenance:28:session-28-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-hawking-collab.md | match='**Author**: Hawking (hawking-theorist)'
[EDGE:authored_by] gates:28:session-28-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-hawking-collab.md | match='**Author**: Hawking (hawking-theorist)'
[EDGE:authored_by] data_provenance:28:session-28-kk-collab.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-28/session-28-kk-collab.md | match='**Author**: Kaluza-Klein (kaluza-klein-theorist)'
