## S89 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G7
## Files scanned: 15 (+ 9 in workshops/)
## Total edges (deduped): 62
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] gates:89:session-89-connes-synthesis.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-connes-synthesis.md | match='**Agent**: connes-ncg-theorist (Workhorse-NCG)'
[EDGE:authored_by] data_provenance:89:session-89-connes-synthesis.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-89/session-89-connes-synthesis.md | match='session-89-connes-synthesis.md'
[EDGE:authored_by] data_provenance:89:session-89-gen-physicist-synthesis.md -> researchers:gen-physicist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-89/session-89-gen-physicist-synthesis.md | match='session-89-gen-physicist-synthesis.md'
[EDGE:authored_by] gates:89:session-89-lizzi-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-lizzi-synthesis.md | match='**Agent**: lizzi-spectral-functional-theorist (Lizzi)'
[EDGE:authored_by] data_provenance:89:session-89-lizzi-synthesis.md -> researchers:lizzi-spectral-functional-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-89/session-89-lizzi-synthesis.md | match='session-89-lizzi-synthesis.md'
[EDGE:authored_by] gates:89:session-89-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-mack-synthesis.md | match='**Agent**: mack-cosmic-bridge (Mack — Cosmic Bridge)'
[EDGE:authored_by] data_provenance:89:session-89-mack-synthesis.md -> researchers:mack-cosmic-bridge  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-89/session-89-mack-synthesis.md | match='session-89-mack-synthesis.md'
[EDGE:authored_by] gates:89:session-89-phonon-first-synthesis.md -> researchers:phonon-first-cosmologist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-phonon-first-synthesis.md | match='**Agent**: phonon-first-cosmologist (phonon-first)'
[EDGE:authored_by] data_provenance:89:session-89-phonon-first-synthesis.md -> researchers:phonon-first-cosmologist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-89/session-89-phonon-first-synthesis.md | match='session-89-phonon-first-synthesis.md'
[EDGE:authored_by] gates:89:session-89-volovik-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-volovik-synthesis.md | match='**Agent**: volovik-superfluid-universe-theorist (volovik)'
[EDGE:authored_by] data_provenance:89:session-89-volovik-synthesis.md -> researchers:volovik-superfluid-universe-theorist  # G3 | role=primary | conf=filename-derived | src=sessions/archive/session-89/session-89-volovik-synthesis.md | match='session-89-volovik-synthesis.md'
[EDGE:authored_by] gates:89:session-89-w1-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w1-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:89:session-89-w1-workingpaper.md -> researchers:mack-cosmic-bridge  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w1-workingpaper.md | match='**Agent**: `mack-cosmic-bridge`'
[EDGE:authored_by] gates:89:session-89-w2-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w2-workingpaper.md | match='**Agent**: `connes-ncg-theorist`'
[EDGE:authored_by] gates:89:session-89-w3-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w3-workingpaper.md | match='**Agent**: `volovik-superfluid-universe-theorist` (CO-AUTHOR `connes-ncg-theoris'
[EDGE:authored_by] gates:89:session-89-w3-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w3-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (CO-AUTHOR `lizzi-spectral-functional-theorist`'
[EDGE:authored_by] gates:89:session-89-w3-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w3-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` (CO-AUTHOR `connes-ncg-theorist`'
[EDGE:authored_by] gates:89:session-89-w4-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w4-workingpaper.md | match='**Agent**: `connes-ncg-theorist` (solo executor took ownership per `/rclab-solo`'
[EDGE:authored_by] gates:89:session-89-w5-workingpaper.md -> researchers:lizzi-spectral-functional-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w5-workingpaper.md | match='**Agent**: `lizzi-spectral-functional-theorist` PRIMARY (CO-AUTHOR `connes-ncg-t'
[EDGE:authored_by] gates:89:session-89-w5-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w5-workingpaper.md | match='**Agent**: `connes-ncg-theorist` PRIMARY (FWD-Cn = bridge-anatomy domain per `cr'
[EDGE:co_authored_by] gates:89:session-89-w5-workingpaper.md -> researchers:volovik-superfluid-universe-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-89/session-89-w5-workingpaper.md | match='**Agent**: `connes-ncg-theorist` PRIMARY (FWD-Cn = bridge-anatomy domain per `cr'
[EDGE:authored_by] gates:89:session-89-w6-workingpaper.md -> researchers:gen-physicist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-89/session-89-w6-workingpaper.md | match='**Agent**: `gen-physicist` (orchestrator-direct-write per `wave-classification.m'
[EDGE:co_authored_by] gates:89:session-89-w6-workingpaper.md -> researchers:connes-ncg-theorist  # G7 | role=co_author | conf=header-parsed | src=sessions/archive/session-89/session-89-w6-workingpaper.md | match='**Agent**: `gen-physicist` PRIMARY + `connes-ncg-theorist` CO-AUTHOR (NCG-axioma'
