## S62 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G5
## Files scanned: 19 (+ 0 in workshops/)
## Total edges (deduped): 37
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:62:session-62-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-62/session-62-baptista-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:authored_by] gates:62:session-62-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-62/session-62-baptista-collab.md | match='**Author**: Baptista Spacetime Analyst'
[EDGE:participates_in] researchers:einstein-theorist -> data_provenance:data_provenance:sessions/archive/session-62/session-62-einstein-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-62/session-62-einstein-baptista-workshop.md | match='einstein (einstein-theorist)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-62/session-62-einstein-baptista-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-62/session-62-einstein-baptista-workshop.md | match='baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:62:session-62-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-62/session-62-einstein-collab.md | match='**Author**: Einstein Theorist'
[EDGE:authored_by] gates:62:session-62-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-62/session-62-einstein-collab.md | match='**Author**: Einstein Theorist'
[EDGE:authored_by] data_provenance:62:session-62-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-62/session-62-hawking-collab.md | match='**Author**: Hawking Theorist'
[EDGE:authored_by] gates:62:session-62-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-62/session-62-hawking-collab.md | match='**Author**: Hawking Theorist'
[EDGE:participates_in] researchers:hawking-theorist -> data_provenance:data_provenance:sessions/archive/session-62/session-62-hawking-qa-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-62/session-62-hawking-qa-workshop.md | match='hawking (hawking-theorist)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-62/session-62-hawking-qa-workshop.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-62/session-62-hawking-qa-workshop.md | match='qa (quantum-acoustics-theorist)'
[EDGE:authored_round] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-62/session-62-hawking-qa-workshop.md#round-1  # G7 | role=round_author | conf=header-parsed | src=sessions/archive/session-62/session-62-hawking-qa-workshop.md | match='## Round 1 — qa'
