## S22 Attribution Edges (generated by tools/harvest_attribution_edges.py)
## Generated: 2026-06-13T17:42:52Z
## Generation: G3
## Files scanned: 23 (+ 0 in workshops/)
## Total edges (deduped): 46
## Spec: sessions/framework/registry/session-format-generations.md
## Regex module: tools/_format_generation_regex_set.py (self-test 18/18 PASS)

[EDGE:authored_by] data_provenance:22:session-22-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] gates:22:session-22-baptista-collab.md -> researchers:baptista-spacetime-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-baptista-collab.md | match='**Author**: Baptista (baptista-spacetime-analyst)'
[EDGE:authored_by] data_provenance:22:session-22-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-berry-collab.md | match='**Author**: Berry (berry-geometric-phase-theorist)'
[EDGE:authored_by] gates:22:session-22-berry-collab.md -> researchers:berry-geometric-phase-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-berry-collab.md | match='**Author**: Berry (berry-geometric-phase-theorist)'
[EDGE:authored_by] data_provenance:22:session-22-connes-collab.md -> researchers:connes-ncg-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-connes-collab.md | match='**Author**: Connes (connes-ncg-theorist)'
[EDGE:authored_by] gates:22:session-22-connes-collab.md -> researchers:connes-ncg-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-connes-collab.md | match='**Author**: Connes (connes-ncg-theorist)'
[EDGE:authored_by] data_provenance:22:session-22-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-dirac-collab.md | match='**Author**: Dirac (dirac-antimatter-theorist)'
[EDGE:authored_by] gates:22:session-22-dirac-collab.md -> researchers:dirac-antimatter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-dirac-collab.md | match='**Author**: Dirac (dirac-antimatter-theorist)'
[EDGE:authored_by] data_provenance:22:session-22-einstein-collab.md -> researchers:einstein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-einstein-collab.md | match='**Author**: Einstein (einstein-theorist)'
[EDGE:authored_by] gates:22:session-22-einstein-collab.md -> researchers:einstein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-einstein-collab.md | match='**Author**: Einstein (einstein-theorist)'
[EDGE:authored_by] data_provenance:22:session-22-feynman-collab.md -> researchers:feynman-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-feynman-collab.md | match='**Author**: Feynman (feynman-theorist)'
[EDGE:authored_by] gates:22:session-22-feynman-collab.md -> researchers:feynman-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-feynman-collab.md | match='**Author**: Feynman (feynman-theorist)'
[EDGE:authored_by] data_provenance:22:session-22-hawking-collab.md -> researchers:hawking-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-hawking-collab.md | match='**Author**: Hawking (hawking-theorist)'
[EDGE:authored_by] gates:22:session-22-hawking-collab.md -> researchers:hawking-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-hawking-collab.md | match='**Author**: Hawking (hawking-theorist)'
[EDGE:authored_by] data_provenance:22:session-22-kk-collab.md -> researchers:kaluza-klein-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-kk-collab.md | match='**Author**: Kaluza-Klein (kaluza-klein-theorist)'
[EDGE:authored_by] gates:22:session-22-kk-collab.md -> researchers:kaluza-klein-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-kk-collab.md | match='**Author**: Kaluza-Klein (kaluza-klein-theorist)'
[EDGE:authored_by] data_provenance:22:session-22-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-landau-collab.md | match='**Author**: Landau (landau-condensed-matter-theorist)'
[EDGE:authored_by] gates:22:session-22-landau-collab.md -> researchers:landau-condensed-matter-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-landau-collab.md | match='**Author**: Landau (landau-condensed-matter-theorist)'
[EDGE:participates_in] researchers:quantum-acoustics-theorist -> data_provenance:data_provenance:sessions/archive/session-22/session-22-master-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22-master-synthesis.md | match='qa-theorist (22a)'
[EDGE:participates_in] researchers:baptista-spacetime-analyst -> data_provenance:data_provenance:sessions/archive/session-22/session-22-master-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22-master-synthesis.md | match='baptista (22b)'
[EDGE:participates_in] researchers:landau-condensed-matter-theorist -> data_provenance:data_provenance:sessions/archive/session-22/session-22-master-synthesis.md  # G7 | role=participant | conf=header-parsed | src=sessions/archive/session-22/session-22-master-synthesis.md | match='landau (22c)'
[EDGE:authored_by] data_provenance:22:session-22-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-neutrino-collab.md | match='**Author**: Neutrino (neutrino-detection-specialist)'
[EDGE:authored_by] gates:22:session-22-neutrino-collab.md -> researchers:neutrino-detection-specialist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-neutrino-collab.md | match='**Author**: Neutrino (neutrino-detection-specialist)'
[EDGE:authored_by] data_provenance:22:session-22-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-paasch-collab.md | match='**Author**: Paasch (paasch-mass-quantization-analyst)'
[EDGE:authored_by] gates:22:session-22-paasch-collab.md -> researchers:paasch-mass-quantization-analyst  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-paasch-collab.md | match='**Author**: Paasch (paasch-mass-quantization-analyst)'
[EDGE:authored_by] data_provenance:22:session-22-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics (quantum-acoustics-theorist)'
[EDGE:authored_by] gates:22:session-22-quantum-acoustics-collab.md -> researchers:quantum-acoustics-theorist  # G7 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-quantum-acoustics-collab.md | match='**Author**: Quantum Acoustics (quantum-acoustics-theorist)'
[EDGE:authored_by] data_provenance:22:session-22-sagan-collab.md -> researchers:sagan-empiricist  # G3 | role=primary | conf=header-parsed | src=sessions/archive/session-22/session-22-sagan-collab.md | match='**Author**: Sagan (sagan-empiricist)'
